type_heater,number_of_bathrooms,number_of_bedrooms,number_of_rooms,number_stories,general_construction,taxable_land,street_code,view_type,basements,category_code,street_code,taxable_land,exterior_condition,garage_spaces,interior_condition,parcel_shape,total_area,total_livable_area,year_built,zip_code,lat,lng,market_value
N,1.0,3.0,6.0,2.0,A ,0.0,88170.0,I,K,1,88170.0,0.0,4.0,1.0,4.0,E,1246.0,1434.0,1940.0,19144,40.03986843234048,75.15407927246459,139100.0
A,2.0,3.0,6.0,3.0,B ,94100.0,76780.0,I,A,1,76780.0,94100.0,1.0,0.0,1.0,E,770.0,1746.0,2020.0,19146,39.93487809148173,75.18514192646232,470500.0
A,1.0,4.0,7.0,2.0,1 ,50800.0,65700.0,I,E,1,65700.0,50800.0,1.0,2.0,1.0,E,7140.0,3070.0,2023.0,19114,40.05776362337296,74.98930238553416,50800.0
A,1.0,3.0,6.0,2.0,A ,9580.0,71120.0,I,C,1,71120.0,9580.0,5.0,0.0,5.0,E,945.0,984.0,1920.0,19142,39.924432186388415,75.23474979227814,47900.0
A,2.0,3.0,6.0,2.0,G ,69460.0,51225.0,A,I,1,51225.0,69460.0,3.0,1.0,3.0,E,2735.0,1666.0,1975.0,19128,40.04511374231449,75.21940778318023,347300.0
B,4.0,8.0,16.0,2.0,A ,79900.0,71560.0,I,K,2,71560.0,79900.0,4.0,0.0,3.0,A,3522.0,3196.0,1965.0,19119,40.05536183533989,75.19023459470198,399500.0
A,1.0,3.0,6.0,2.0,A ,16520.0,18280.0,I,C,1,18280.0,16520.0,4.0,0.0,4.0,E,756.0,896.0,1920.0,19145,39.92783889420394,75.18449830214216,82600.0
A,3.0,3.0,6.0,3.0,B ,78600.0,21200.0,I,A,1,21200.0,78600.0,1.0,0.0,1.0,E,686.0,1653.0,2024.0,19148,39.921624493401175,75.15285354702887,78600.0
B,2.0,4.0,8.0,2.0,E ,19800.0,55100.0,I,D,1,55100.0,19800.0,6.0,0.0,6.0,E,2000.0,1086.0,1900.0,19144,40.04427765100677,75.17159567177639,99000.0
A,2.0,4.0,7.0,2.0,E ,91280.0,57470.0,C,I,1,57470.0,91280.0,3.0,1.0,4.0,A,9712.0,1650.0,1970.0,19119,40.04398611425795,75.20554682963416,456400.0
A,2.0,4.0,8.0,2.0,A ,58400.0,66540.0,I,G,2,66540.0,58400.0,4.0,2.0,4.0,A,4074.0,1778.0,1970.0,19128,40.02369475019839,75.20504204671074,292000.0
A,1.0,2.0,5.0,2.0,A ,80600.0,55540.0,I,A,1,55540.0,80600.0,3.0,0.0,2.0,E,620.0,1012.0,1940.0,19148,39.92410834319264,75.16330144861105,403000.0
H,1.0,3.0,6.0,3.0,A ,37520.0,88160.0,I,C,1,88160.0,37520.0,5.0,0.0,6.0,E,864.0,1778.0,1915.0,19146,39.93592072092765,75.1751897305512,187600.0
A,2.0,3.0,6.0,3.0,B ,94980.0,88270.0,I,A,1,88270.0,94980.0,2.0,0.0,2.0,E,900.0,2014.0,1923.0,19146,39.93719994204322,75.1835119899955,474900.0
A,3.0,4.0,7.0,3.0,A ,38040.0,88240.0,I,A,1,88240.0,38040.0,1.0,0.0,1.0,A,1040.0,2160.0,2023.0,19146,39.93897493602719,75.18143799173163,190200.0
A,2.0,3.0,6.0,2.0,A ,21280.0,33720.0,I,A,1,33720.0,21280.0,4.0,1.0,5.0,E,1440.0,1152.0,1950.0,19150,40.07930600687183,75.17797135549186,106400.0
H,2.0,3.0,6.0,2.0,A ,0.0,73260.0,I,K,1,73260.0,0.0,1.0,0.0,1.0,E,907.0,1372.0,2022.0,19134,39.99220721660193,75.12960485188032,38000.0
A,2.0,4.0,6.0,2.0,B ,32900.0,88180.0,I,C,2,88180.0,32900.0,2.0,0.0,2.0,E,1056.0,1544.0,1920.0,19145,39.92823783072809,75.17846489379005,164800.0
A,2.0,3.0,6.0,2.0,A ,66740.0,88220.0,I,C,2,88220.0,66740.0,4.0,0.0,4.0,E,1008.0,1550.0,1920.0,19145,39.92654179528213,75.18287542993961,333700.0
A,1.0,3.0,6.0,2.0,A ,54520.0,11260.0,I,E,1,11260.0,54520.0,4.0,1.0,4.0,A,3376.0,1216.0,1950.0,19128,40.038296916417806,75.22109999327161,272600.0
H,1.0,3.0,6.0,2.0,A ,5320.0,78960.0,I,C,1,78960.0,5320.0,7.0,0.0,7.0,E,700.0,986.0,1920.0,19142,39.92789413767689,75.23528978641447,26600.0
A,2.0,3.0,6.0,3.0,A ,84000.0,33900.0,I,A,1,33900.0,84000.0,2.0,0.0,2.0,E,658.0,1624.0,1923.0,19145,39.93128048823612,75.17892357326396,420000.0
A,1.0,3.0,6.0,2.0,A ,38440.0,81780.0,I,C,1,81780.0,38440.0,4.0,0.0,4.0,E,750.0,1068.0,1925.0,19145,39.929674826696825,75.17429607882973,192200.0
A,1.0,3.0,6.0,2.0,A ,15100.0,85680.0,I,C,1,85680.0,15100.0,4.0,0.0,4.0,E,880.0,1080.0,1920.0,19142,39.92481830905398,75.23661871749725,75900.0
A,2.0,4.0,8.0,3.0,J ,99220.0,83880.0,I,D,1,83880.0,99220.0,4.0,0.0,4.0,E,2316.0,1735.0,1925.0,19118,40.0739083935659,75.19946422086481,496100.0
A,3.0,4.0,8.0,3.0,1 ,45700.0,57680.0,I,A,1,57680.0,45700.0,1.0,0.0,1.0,E,538.0,1468.0,2022.0,19133,39.98598385806613,75.13462757266649,45700.0
H,2.0,3.0,6.0,2.0,A ,0.0,73260.0,I,K,1,73260.0,0.0,1.0,0.0,1.0,E,907.0,1372.0,2022.0,19134,39.992221070831626,75.1297160372458,38000.0
N,1.0,3.0,6.0,2.0,A ,13400.0,28500.0,I,C,1,28500.0,13400.0,7.0,1.0,7.0,E,3125.0,2760.0,1925.0,19142,39.92156965804817,75.22563717613045,67000.0
